Frage;Wahl_A;Wahl_B;Wahl_C;Wahl_D;Wahl_E;Antwort;Module;Language;Tags;Year;Answer Verfication;Expanded Date Info;Notes;Explanation;Entry ID;
Bile is produced by:;the pancreas;the gall bladder;the duodenum;the liver;the stomach;the liver;Admissions;EN;Camp Admissions 47;2025;Verified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";GRT-CA-51;
During DNA replication:;ligase catalyzes the formation of hydrogen bonds between nitrogenous bases;DNA polymerase synthesizes the new strand in the 3'-5' direction;the replicating fork is formed at the ORI point;fast strand synthesis gives rise to Okazaki fragments;SSBs proteins separate the double helix;the replicating fork is formed at the ORI point;Admissions;EN;Camp Admissions 46;2025;Verified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";GRT-CA-52;
The sinoatrial node:;is located in the right ventricle;is located in the left atrium;transmits the impulse directly to the bundle of His;receives the impulse from the atrioventricular node;establishes the rhythm of contraction of the heart;establishes the rhythm of contraction of the heart;Admissions;EN;Camp Admissions 45;2025;Verified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";GRT-CA-53;
In which of the following important biochemical cell processes are both oxaloacetic acid and acetyl-CoA involved?;Calvin cycle;Anaerobic glycolysis;Lactic fermentation;Krebs cycle;Alcoholic fermentation;Krebs cycle;Admissions;EN;Camp Admissions 44;2025;Verified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";GRT-CA-54;
Which of the following is NOT a function of the nucleus?;Regulation of gene expression;RNA synthesis;DNA storage;Assembly of ribosomes;Protein modification;Protein modification;Admissions;EN;Camp Admissions 43;2025;Verified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";GRT-CA-55;
Regarding the spinal cord, it is true that:;the white matter is made up of motor neuron pyrenophores;the white matter is made up of the pyrenophores of spinal sensory neurons;the axons of spinal sensory neurons are inserted into the dorsal horns;axons of spinal sensory neurons emerge from the ventral horns;"the white matter forms the ""central butterfly"" and is surrounded by grey matter";the axons of spinal sensory neurons are inserted into the dorsal horns;Admissions;EN;Camp Admissions 42;2025;Verified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";GRT-CA-56;
Which of the following intracellular organelles is an important source of radical species?;The Golgi apparatus;The nucleus;All the organelles mentioned in the other options;The mitochondrion;The ribosome;The mitochondrion;Admissions;EN;Camp Admissions 41;2025;Verified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";GRT-CA-57;
Sickle cell anemia is an autosomal recessive disease. As a result, an affected individual:;must have both parents sick;is more likely male, as males have only one X chromosome;could be the child of two parents who do not have the disease;must have at least one sick parent;will certainly have children who are all sick;could be the child of two parents who do not have the disease;Admissions;EN;Camp Admissions 40;2025;Verified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";GRT-CA-58;
Viruses:;activate outside the host cell and survive for 24 hours;have a complete cellular structure;are visible under an optical microscope;do not have a cellular structure and multiply only at the expense of a host cell;reproduce by meiosis;do not have a cellular structure and multiply only at the expense of a host cell;Admissions;EN;Camp Admissions 39;2025;Verified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";GRT-CA-59;
During muscle contraction:;actin and myosin maintain their arrangement in the sarcomere unchanged;a certain amount of calcium ions is required;the actin and myosin filaments change their length;the presence of ATP as an energy source is not required;the H zone and I band increase in size;a certain amount of calcium ions is required;Admissions;EN;Camp Admissions 38;2025;Verified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";GRT-CA-60;
What is the pH of 0.5 liters of an aqueous solution of NH<sub>3</sub>, which contains 0.0005 moles of OH⁻?;11;12;4;The pH of the solution can't be calculated because NH<sub>3</sub> is not an acidic compound;3;11;Admissions;EN;Camp Admissions 37;2025;Verified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";GRT-CA-61;
What is the oxidation number of carbon in H<sub>2</sub>CO<sub>3</sub>?;4;-2;2;1;-4;4;Admissions;EN;Camp Admissions 36;2025;Verified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";GRT-CA-62;
The following type of bond is formed between sodium and chlorine:;an ionic bond;a covalent bond;a double bond;a dative bond;a hydrogen bond;an ionic bond;Admissions;EN;Camp Admissions 35;2025;Verified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";GRT-CA-63;
Which of the following organic compounds is formed from the oxidation of propanone?;Propane;None of the other answers are correct;Butyraldehyde;A mixture of propan-2-ol and propan-1-ol;Cyclopropane;None of the other answers are correct;Admissions;EN;Camp Admissions 34;2025;Verified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";GRT-CA-64;
A 0.01M aqueous solution of an unknown substance has pH = 2. It is possible to deduce that the substance is:;a weak base;a weak acid;a strong base;a strong acid;a hydroxide;a strong acid;Admissions;EN;Camp Admissions 33;2025;Verified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";GRT-CA-65;
The elements of the same group of the periodic system have:;the same mass number;the same external electron configuration;the same atomic weight;the same atomic number;the same number of neutrons;the same external electron configuration;Admissions;EN;Camp Admissions 32;2025;Verified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";GRT-CA-66;
Which of the following substances can be found in gaseous state at standard temperature and pressure?;Copper;Mercury;Helium;Petrol;Water;Helium;Admissions;EN;Camp Admissions 31;2025;Verified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";GRT-CA-67;
The molarity of a solution expresses the number of:;moles of solute in 100ml of solution;moles of solute in one liter of solution;solute molecules in 100g of solution;solute molecules in a liter of solvent;moles of solute per kg of solvent;idk;Admissions;EN;Camp Admissions 30;2025;Verified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";GRT-CA-68;
Which of the following elements has the lowest first ionization energy?;Be;Ca;B;N;Mg;Ca;Admissions;EN;Camp Admissions 29;2025;Verified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";GRT-CA-69;
A tablespoon of sucrose contains 20.88 g of substance, corresponding to 0.061 moles. It follows that the molar mass of sucrose equals:;610 g/mol;342.3 g/mol;20.88 g/mol;1.2737 g/mol;0.061 g/mol;342.3 g/mol;Admissions;EN;Camp Admissions 28;2025;Verified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";GRT-CA-70;
The mass of a pen is 3.2 - 10<sup>2</sup> hg. What is the mass in International System units?;0.0032 kg;32 g;32 • 10<sup>7</sup> kg;3.2 • 10<sup>1</sup> g;0.032 kg;0.0032 kg;Admissions;EN;Camp Admissions 48;2025;Verified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";GRT-CA-80;
Which of the following statements about meiosis is true?;It takes place in somatic cells;The number of chromosomes is halved in the daughter cells;A diploid cell creates two diploid cells;It is the way that stem cells divide;It immediately precedes fertilisation;The number of chromosomes is halved in the daughter cells;Admissions;EN;Camp Admissions 25;2025;Verified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";GRT-CA-81;
The Pascal is a unit of measurement:;for work;for impulse;for power;for kinetic energy;for pressure;for pressure;Admissions;EN;Camp Admissions 26;2025;Verified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";GRT-CA-82;
The symbol of Iron is:;Fe;F;None of the other options are correct;Fr;Au;Fe;Admissions;EN;Camp Admissions 27;2025;Verified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";GRT-CA-83;
